bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
student389_ERR2683233_Bin_00012	1357262	299	5352	67.33268812970488	49.29577464788732	2.816901408450704	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ottowia	Ottowia sp001897615
student389_ERR2683233_Bin_00013	733735	140	6692	38.18834506491602	47.88732394366197	2.816901408450704	Bacteria						
student389_ERR2683233_Bin_00014	2298267	564	4186	65.92228946148589	43.66197183098591	9.859154929577464	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae		
student389_ERR2683233_Bin_00015	2639251	659	4257	44.695472602715114	38.028169014084504	4.225352112676056	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales			
student389_ERR2683233_Bin_00016	960286	200	5386	54.7795783408038	33.80281690140845	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae		
student389_ERR2683233_Bin_00017	1078745	230	5495	61.55480004264323	40.84507042253521	7.042253521126761	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	
student389_ERR2683233_Bin_00018	1696379	578	2838	30.98276185787578	49.29577464788732	16.901408450704224	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	
student389_ERR2683233_Bin_00019	499200	131	4109	51.80890259743664	33.80281690140845	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Brachymonas	Brachymonas denitrificans
student389_ERR2683233_Bin_00020	442504	75	7561	56.295833068230685	35.2112676056338	2.816901408450704	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	
student389_ERR2683233_Bin_00021	539299	168	2995	61.80008801693519	38.028169014084504	8.450704225352112	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
