gene_callers_id	source	accession	function	e_value
8788	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	4.9e-107
10542	KOfam	K00451	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	3.5e-26
11191	KOfam	K02520	translation initiation factor IF-3	8.5e-70
9904	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	5.2e-127
9278	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	1e-155
9668	KOfam	K10118	raffinose/stachyose/melibiose transport system permease protein	2.3e-114
10158	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	8.9e-24
10273	KOfam	K11212	LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]	3.6e-119
10236	KOfam	K00479	glycine betaine catabolism A	1.1e-104
9758	KOfam	K17105	geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]	2.3e-76
8670	KOfam	K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	7.1e-99
9722	KOfam	K02050	NitT/TauT family transport system permease protein	4.3e-67
9582	KOfam	K07100	putative phosphoribosyl transferase	1.8e-76
10978	KOfam	K02078	acyl carrier protein	2e-31
10271	KOfam	K15510	coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]	3.8e-136
9989	KOfam	K09139	uncharacterized protein	4.1e-63
9042	KOfam	K09139	uncharacterized protein	7.4e-62
10891	KOfam	K07114	Ca-activated chloride channel homolog	1.3e-43
9103	KOfam	K22223	phosphoglycolate phosphatase [EC:3.1.3.18]	9.4e-65
8939	KOfam	K02871	large subunit ribosomal protein L13	7.7e-73
9130	KOfam	K02871	large subunit ribosomal protein L13	1.8e-70
8696	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	7.9e-137
9534	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	1.1e-132
9399	KOfam	K07048	phosphotriesterase-related protein	1.7e-80
10086	KOfam	K09717	uncharacterized protein	3.9e-93
10726	KOfam	K02118	V/A-type H+/Na+-transporting ATPase subunit B	2e-224
9458	KOfam	K07060	endoribonuclease Nob1 [EC:3.1.-.-]	2.1e-54
10805	KOfam	K24450	DNA-binding protein	4e-29
8956	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	1.5e-52
10315	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	1.6e-33
11071	KOfam	K02483	two-component system, OmpR family, response regulator	2.6e-85
9764	KOfam	K02483	two-component system, OmpR family, response regulator	9e-85
8806	KOfam	K02483	two-component system, OmpR family, response regulator	3.3e-81
11157	KOfam	K02483	two-component system, OmpR family, response regulator	4.6e-78
10422	KOfam	K02483	two-component system, OmpR family, response regulator	5.7e-78
9369	KOfam	K02483	two-component system, OmpR family, response regulator	1.1e-76
9650	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	1.4e-69
8473	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	3.4e-76
8472	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	7.9e-70
9181	KOfam	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]	2.4e-18
9690	KOfam	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	1.4e-45
9609	KOfam	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	1.7e-11
10101	KOfam	K07263	zinc protease [EC:3.4.24.-]	5.5e-79
8694	KOfam	K00518	nickel superoxide dismutase [EC:1.15.1.1]	2.8e-51
10254	KOfam	K00518	nickel superoxide dismutase [EC:1.15.1.1]	5.7e-49
10834	KOfam	K01160	crossover junction endodeoxyribonuclease RusA [EC:3.1.22.4]	2e-12
8666	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	1e-15
11010	KOfam	K02119	V/A-type H+/Na+-transporting ATPase subunit C	2.9e-93
10068	KOfam	K02119	V/A-type H+/Na+-transporting ATPase subunit C	8.8e-86
10723	KOfam	K02119	V/A-type H+/Na+-transporting ATPase subunit C	4.7e-85
10210	KOfam	K09716	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	3.6e-102
10856	KOfam	K01438	acetylornithine deacetylase [EC:3.5.1.16]	4.6e-89
9865	KOfam	K02864	large subunit ribosomal protein L10	1.9e-54
8611	KOfam	K02864	large subunit ribosomal protein L10	6.5e-46
10204	KOfam	K02864	large subunit ribosomal protein L10	2.1e-17
10432	KOfam	K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	1.9e-135
10495	KOfam	K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	5.4e-109
8697	KOfam	K05879	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	4.2e-60
9533	KOfam	K05879	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	4.7e-60
9721	KOfam	K02051	NitT/TauT family transport system substrate-binding protein	1.3e-35
10868	KOfam	K07129	uncharacterized protein	5.7e-101
9787	KOfam	K14155	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	8.5e-163
9230	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	1.7e-158
10604	KOfam	K10441	ribose transport system ATP-binding protein [EC:7.5.2.7]	7.3e-222
8460	KOfam	K10441	ribose transport system ATP-binding protein [EC:7.5.2.7]	9.8e-216
9394	KOfam	K10441	ribose transport system ATP-binding protein [EC:7.5.2.7]	2.1e-214
8975	KOfam	K02904	large subunit ribosomal protein L29	7.5e-24
9057	KOfam	K00849	galactokinase [EC:2.7.1.6]	8.4e-133
9935	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	1.7e-105
11253	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	1.1e-91
9020	KOfam	K18237	ribose 1,5-bisphosphate isomerase [EC:5.3.1.29]	5.6e-112
10570	KOfam	K01969	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	9.3e-292
9122	KOfam	K03824	putative acetyltransferase [EC:2.3.1.-]	1.8e-59
10672	KOfam	K00320	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	2.9e-80
10355	KOfam	K00320	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	6.7e-75
9759	KOfam	K06989	aspartate dehydrogenase [EC:1.4.1.21]	4e-56
9181	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	3.1e-98
10156	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	1.5e-146
9040	KOfam	K18779	7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]	1e-127
9242	KOfam	K01214	isoamylase [EC:3.2.1.68]	0
8782	KOfam	K09927	uncharacterized protein	1.9e-94
8771	KOfam	K02899	large subunit ribosomal protein L27	9.8e-44
9882	KOfam	K07063	uncharacterized protein	1.1e-41
10637	KOfam	K07063	uncharacterized protein	8.3e-36
10367	KOfam	K04797	prefoldin alpha subunit	5.5e-17
11169	KOfam	K00283	glycine dehydrogenase subunit 2 [EC:1.4.4.2]	2e-226
