gene_callers_id	source	accession	function	e_value
12973	KOfam	K03831	molybdopterin adenylyltransferase [EC:2.7.7.75]	6.7e-66
15296	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	2.7e-95
14069	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	1.2e-92
13366	KOfam	K01798	Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]	2.2e-212
11364	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	5.8e-202
10791	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	8.6e-172
11969	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	3.5e-168
10302	KOfam	K01997	branched-chain amino acid transport system permease protein	3.5e-86
10057	KOfam	K01997	branched-chain amino acid transport system permease protein	1.8e-70
9219	KOfam	K06020	energy-dependent translational throttle protein EttA	3e-275
14084	KOfam	K02520	translation initiation factor IF-3	3.6e-68
12427	KOfam	K02520	translation initiation factor IF-3	4.7e-68
9633	KOfam	K02520	translation initiation factor IF-3	1.1e-61
15235	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	7e-127
9582	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	9.7e-210
12766	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	1e-183
11220	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	1.7e-180
11329	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	2.3e-173
13236	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	4.4e-167
14014	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	1.3e-164
13351	KOfam	K10118	raffinose/stachyose/melibiose transport system permease protein	6e-100
12474	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	1.2e-22
10115	KOfam	K11212	LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]	4e-121
14091	KOfam	K11212	LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]	2.4e-104
12754	KOfam	K02939	large subunit ribosomal protein L9	2.4e-51
15812	KOfam	K02939	large subunit ribosomal protein L9	2.9e-49
12295	KOfam	K02939	large subunit ribosomal protein L9	4.2e-48
13950	KOfam	K02939	large subunit ribosomal protein L9	3.4e-43
13246	KOfam	K02939	large subunit ribosomal protein L9	8e-41
14953	KOfam	K02939	large subunit ribosomal protein L9	1.9e-40
11727	KOfam	K02939	large subunit ribosomal protein L9	4.7e-40
11190	KOfam	K02939	large subunit ribosomal protein L9	1.1e-16
10731	KOfam	K00848	rhamnulokinase [EC:2.7.1.5]	2.5e-209
9099	KOfam	K00848	rhamnulokinase [EC:2.7.1.5]	5.5e-209
13313	KOfam	K18785	beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]	4.4e-137
12358	KOfam	K18785	beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]	3.2e-118
11289	KOfam	K02911	large subunit ribosomal protein L32	4.1e-19
9746	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	1.9e-177
9468	KOfam	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]	5e-39
10727	KOfam	K10440	ribose transport system permease protein	9.8e-105
14038	KOfam	K00647	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	1e-107
14327	KOfam	K02050	NitT/TauT family transport system permease protein	1.8e-69
15913	KOfam	K02050	NitT/TauT family transport system permease protein	5.4e-65
10888	KOfam	K02050	NitT/TauT family transport system permease protein	3.4e-56
10886	KOfam	K02050	NitT/TauT family transport system permease protein	7.8e-55
10985	KOfam	K07100	putative phosphoribosyl transferase	3.1e-84
11285	KOfam	K02078	acyl carrier protein	3.1e-31
11187	KOfam	K02078	acyl carrier protein	2.9e-29
15329	KOfam	K02078	acyl carrier protein	1.3e-23
12282	KOfam	K02078	acyl carrier protein	6.8e-21
12933	KOfam	K02078	acyl carrier protein	4.4e-20
10116	KOfam	K15510	coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]	9.1e-143
9807	KOfam	K07114	Ca-activated chloride channel homolog	1.9e-34
15145	KOfam	K00928	aspartate kinase [EC:2.7.2.4]	6.7e-160
13101	KOfam	K00928	aspartate kinase [EC:2.7.2.4]	5.6e-156
8809	KOfam	K06381	stage II sporulation protein D	2.2e-40
12019	KOfam	K02871	large subunit ribosomal protein L13	3.1e-69
13272	KOfam	K02871	large subunit ribosomal protein L13	6.6e-67
8056	KOfam	K02871	large subunit ribosomal protein L13	6.6e-61
9402	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	3.4e-163
10951	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	9.3e-162
14187	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	1.3e-145
15122	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	6.1e-25
15076	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	9.3e-21
12906	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	4.6e-20
11175	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	1.7e-19
8779	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	3.8e-19
10187	KOfam	K13015	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	1.1e-169
11657	KOfam	K13015	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	2.2e-167
12034	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	8.7e-54
15350	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	5.2e-52
9734	KOfam	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	1.6e-49
13660	KOfam	K02497	HemX protein	1.4e-51
14221	KOfam	K02483	two-component system, OmpR family, response regulator	2.7e-87
8300	KOfam	K02483	two-component system, OmpR family, response regulator	1.5e-80
7993	KOfam	K02483	two-component system, OmpR family, response regulator	1.9e-80
14285	KOfam	K02483	two-component system, OmpR family, response regulator	4.4e-80
14657	KOfam	K02483	two-component system, OmpR family, response regulator	1.2e-78
10240	KOfam	K02483	two-component system, OmpR family, response regulator	1.3e-77
9471	KOfam	K02483	two-component system, OmpR family, response regulator	1.5e-72
10677	KOfam	K00294	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	7.8e-245
14153	KOfam	K21514	23S rRNA (uridine2479-2'-O)-methyltransferase [EC:2.1.1.208]	3.5e-109
14188	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	3.4e-73
11596	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	9.6e-71
10635	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	5e-64
8436	KOfam	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	5.5e-59
8148	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	2e-203
12417	KOfam	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	4.6e-89
11371	KOfam	K02454	general secretion pathway protein E [EC:7.4.2.8]	3.6e-199
11711	KOfam	K02454	general secretion pathway protein E [EC:7.4.2.8]	1.1e-191
12394	KOfam	K02440	glycerol uptake facilitator protein	5.1e-102
12207	KOfam	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	1.4e-159
