gene_callers_id	source	accession	function	e_value
34041	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	3e-103
35653	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	6.3e-94
37876	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	7.8e-94
35627	KOfam	K01798	Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]	0
31638	KOfam	K01798	Alr-MurF fusion protein [EC:5.1.1.1 6.3.2.10]	1.9e-195
38151	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	9.5e-115
35555	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	2.6e-113
36185	KOfam	K01940	argininosuccinate synthase [EC:6.3.4.5]	5e-112
34742	KOfam	K06975	uncharacterized protein	9.4e-24
36642	KOfam	K06975	uncharacterized protein	1.4e-23
33756	KOfam	K06975	uncharacterized protein	1.2e-22
34743	KOfam	K06975	uncharacterized protein	1.1e-19
38374	KOfam	K06975	uncharacterized protein	1.5e-16
32975	KOfam	K01997	branched-chain amino acid transport system permease protein	9.4e-104
32343	KOfam	K01997	branched-chain amino acid transport system permease protein	6e-85
35677	KOfam	K12055	chromosome partitioning related protein ParA	3.8e-94
36052	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	6.3e-145
36368	KOfam	K05515	penicillin-binding protein 2 [EC:3.4.16.4]	2.2e-251
31892	KOfam	K11206	deaminated glutathione amidase [EC:3.5.1.128]	3.7e-99
33565	KOfam	K10118	raffinose/stachyose/melibiose transport system permease protein	6.5e-111
33876	KOfam	K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	8e-45
35858	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	3.9e-23
37960	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	6.8e-21
33013	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	9.8e-21
35414	KOfam	K03616	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.2.1.2]	9.2e-70
34181	KOfam	K03616	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.2.1.2]	4.1e-68
31660	KOfam	K03616	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.2.1.2]	2.1e-37
34834	KOfam	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	3.8e-128
32739	KOfam	K05501	TetR/AcrR family transcriptional regulator	5.2e-88
33387	KOfam	K02939	large subunit ribosomal protein L9	1.3e-45
32414	KOfam	K02939	large subunit ribosomal protein L9	7.1e-44
35337	KOfam	K02939	large subunit ribosomal protein L9	3.6e-42
32194	KOfam	K00684	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	3.9e-82
34076	KOfam	K18975	small multidrug resistance pump	3.2e-48
34504	KOfam	K02911	large subunit ribosomal protein L32	2.6e-21
36252	KOfam	K02911	large subunit ribosomal protein L32	1.4e-13
31211	KOfam	K18791	beta-lactamase class D OXA-2 [EC:3.5.2.6]	2.6e-186
35516	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.6e-243
34802	KOfam	K02044	phosphonate transport system substrate-binding protein	5.6e-39
32238	KOfam	K12257	SecD/SecF fusion protein	2.4e-243
32235	KOfam	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]	9.4e-36
32278	KOfam	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]	2.4e-35
